two_layer_experiments.py
Python 3.12.8 on Windows-11-10.0.26200-SP0 | seed=20060626 | 2026-06-17
preset=thorough | exp1 configs=250 random=50000 | exp2 sizes=(4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48) reps=20 | exp3 trials=40
Dimensions d = 4  ('proto', 'src', 'dst', 'dport')

==========================================================================
EXPERIMENT 1  Correctness of Phi vs brute force
  (a) exhaustive over SMALL domain (8192 pkts)  (b) random over MEDIUM domain (~33.5M)
==========================================================================
Config  k   t   exhaustive  random  exh mism  rnd mism  anom mism  |Phi|S
cfg120  4   9   8192        50000   0         0         0          8     
cfg121  10  6   8192        50000   0         0         0          59    
cfg122  8   8   8192        50000   0         0         0          12    
cfg123  8   8   8192        50000   0         0         0          23    
cfg124  7   9   8192        50000   0         0         0          18    
cfg125  6   5   8192        50000   0         0         0          7     
cfg126  6   9   8192        50000   0         0         0          68    
cfg127  10  8   8192        50000   0         0         0          42    
cfg128  8   5   8192        50000   0         0         0          3     
cfg129  10  8   8192        50000   0         0         0          15    
cfg130  4   6   8192        50000   0         0         0          10    
cfg131  4   8   8192        50000   0         0         0          4     
cfg132  10  6   8192        50000   0         0         0          74    
cfg133  6   7   8192        50000   0         0         0          6     
cfg134  4   7   8192        50000   0         0         0          0     
cfg135  7   9   8192        50000   0         0         0          30    
cfg136  8   5   8192        50000   0         0         0          11    
cfg137  7   7   8192        50000   0         0         0          1     
cfg138  5   8   8192        50000   0         0         0          16    
cfg139  9   10  8192        50000   0         0         0          41    
cfg140  7   5   8192        50000   0         0         0          0     
cfg141  5   4   8192        50000   0         0         0          5     
cfg142  7   4   8192        50000   0         0         0          9     
cfg143  10  5   8192        50000   0         0         0          13    
cfg144  10  8   8192        50000   0         0         0          89    
cfg145  10  8   8192        50000   0         0         0          16    
cfg146  6   9   8192        50000   0         0         0          32    
cfg147  6   7   8192        50000   0         0         0          19    
cfg148  7   5   8192        50000   0         0         0          11    
cfg149  7   10  8192        50000   0         0         0          9     
cfg150  10  10  8192        50000   0         0         0          0     
cfg151  9   5   8192        50000   0         0         0          6     
cfg152  10  7   8192        50000   0         0         0          124   
cfg153  10  8   8192        50000   0         0         0          57    
cfg154  7   10  8192        50000   0         0         0          31    
cfg155  4   7   8192        50000   0         0         0          4     
cfg156  10  5   8192        50000   0         0         0          36    
cfg157  7   8   8192        50000   0         0         0          5     
cfg158  8   9   8192        50000   0         0         0          44    
cfg159  8   10  8192        50000   0         0         0          67    
cfg160  9   5   8192        50000   0         0         0          39    
cfg161  9   9   8192        50000   0         0         0          58    
cfg162  7   10  8192        50000   0         0         0          14    
cfg163  6   5   8192        50000   0         0         0          34    
cfg164  10  7   8192        50000   0         0         0          39    
cfg165  4   10  8192        50000   0         0         0          30    
cfg166  7   6   8192        50000   0         0         0          18    
cfg167  7   4   8192        50000   0         0         0          3     
cfg168  4   4   8192        50000   0         0         0          9     
cfg169  5   8   8192        50000   0         0         0          42    
cfg170  6   9   8192        50000   0         0         0          41    
cfg171  4   8   8192        50000   0         0         0          28    
cfg172  9   4   8192        50000   0         0         0          16    
cfg173  4   10  8192        50000   0         0         0          9     
cfg174  4   9   8192        50000   0         0         0          4     
cfg175  5   7   8192        50000   0         0         0          14    
cfg176  7   10  8192        50000   0         0         0          31    
cfg177  5   10  8192        50000   0         0         0          15    
cfg178  10  4   8192        50000   0         0         0          49    
cfg179  9   10  8192        50000   0         0         0          71    
cfg180  4   9   8192        50000   0         0         0          20    
cfg181  8   8   8192        50000   0         0         0          25    
cfg182  9   7   8192        50000   0         0         0          10    
cfg183  10  10  8192        50000   0         0         0          149   
cfg184  8   6   8192        50000   0         0         0          79    
cfg185  10  8   8192        50000   0         0         0          91    
cfg186  9   4   8192        50000   0         0         0          23    
cfg187  10  6   8192        50000   0         0         0          20    
cfg188  10  6   8192        50000   0         0         0          37    
cfg189  6   7   8192        50000   0         0         0          23    
cfg190  9   4   8192        50000   0         0         0          24    
cfg191  5   7   8192        50000   0         0         0          5     
cfg192  10  4   8192        50000   0         0         0          17    
cfg193  7   6   8192        50000   0         0         0          13    
cfg194  5   8   8192        50000   0         0         0          0     
cfg195  10  7   8192        50000   0         0         0          42    
cfg196  5   8   8192        50000   0         0         0          54    
cfg197  9   6   8192        50000   0         0         0          8     
cfg198  7   6   8192        50000   0         0         0          9     
cfg199  9   6   8192        50000   0         0         0          27    
cfg200  5   4   8192        50000   0         0         0          5     
cfg201  8   4   8192        50000   0         0         0          19    
cfg202  9   10  8192        50000   0         0         0          38    
cfg203  5   10  8192        50000   0         0         0          14    
cfg204  6   10  8192        50000   0         0         0          11    
cfg205  9   9   8192        50000   0         0         0          60    
cfg206  10  6   8192        50000   0         0         0          30    
cfg207  7   9   8192        50000   0         0         0          33    
cfg208  7   8   8192        50000   0         0         0          17    
cfg209  10  7   8192        50000   0         0         0          19    
cfg210  7   8   8192        50000   0         0         0          9     
cfg211  4   4   8192        50000   0         0         0          3     
cfg212  6   10  8192        50000   0         0         0          85    
cfg213  7   10  8192        50000   0         0         0          27    
cfg214  10  7   8192        50000   0         0         0          28    
cfg215  8   10  8192        50000   0         0         0          0     
cfg216  10  9   8192        50000   0         0         0          43    
cfg217  10  5   8192        50000   0         0         0          30    
cfg218  10  8   8192        50000   0         0         0          12    
