two_layer_experiments.py
Python 3.12.8 on Windows-11-10.0.26200-SP0 | seed=2 | 2026-06-17
preset=thorough | exp1 configs=250 random=50000 | exp2 sizes=(4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48) reps=20 | exp3 trials=40
Dimensions d = 4  ('proto', 'src', 'dst', 'dport')

==========================================================================
EXPERIMENT 1  Correctness of Phi vs brute force
  (a) exhaustive over SMALL domain (8192 pkts)  (b) random over MEDIUM domain (~33.5M)
==========================================================================
Config  k   t   exhaustive  random  exh mism  rnd mism  anom mism  |Phi|S
-------------------------------------------------------------------------
cfg0    10  10  8192        50000   0         0         0          52    
cfg1    6   5   8192        50000   0         0         0          45    
cfg2    6   8   8192        50000   0         0         0          8     
cfg3    9   5   8192        50000   0         0         0          24    
cfg4    4   4   8192        50000   0         0         0          9     
cfg5    7   9   8192        50000   0         0         0          6     
cfg6    7   8   8192        50000   0         0         0          29    
cfg7    9   6   8192        50000   0         0         0          36    
cfg8    4   9   8192        50000   0         0         0          10    
cfg9    6   8   8192        50000   0         0         0          73    
cfg10   10  7   8192        50000   0         0         0          15    
cfg11   5   6   8192        50000   0         0         0          6     
cfg12   5   5   8192        50000   0         0         0          4     
cfg13   4   6   8192        50000   0         0         0          9     
cfg14   4   10  8192        50000   0         0         0          12    
cfg15   6   7   8192        50000   0         0         0          2     
cfg16   10  8   8192        50000   0         0         0          7     
cfg17   4   8   8192        50000   0         0         0          7     
cfg18   7   8   8192        50000   0         0         0          19    
cfg19   6   7   8192        50000   0         0         0          17    
cfg20   9   7   8192        50000   0         0         0          39    
cfg21   9   9   8192        50000   0         0         0          29    
cfg22   8   9   8192        50000   0         0         0          75    
cfg23   7   7   8192        50000   0         0         0          12    
cfg24   4   7   8192        50000   0         0         0          6     
cfg25   4   5   8192        50000   0         0         0          0     
cfg26   4   8   8192        50000   0         0         0          5     
cfg27   9   8   8192        50000   0         0         0          17    
cfg28   4   8   8192        50000   0         0         0          21    
cfg29   7   10  8192        50000   0         0         0          65    
cfg30   6   5   8192        50000   0         0         0          16    
cfg31   4   9   8192        50000   0         0         0          51    
cfg32   8   7   8192        50000   0         0         0          16    
cfg33   8   5   8192        50000   0         0         0          29    
cfg34   8   8   8192        50000   0         0         0          28    
cfg35   8   6   8192        50000   0         0         0          35    
cfg36   8   7   8192        50000   0         0         0          35    
cfg37   7   4   8192        50000   0         0         0          5     
cfg38   4   4   8192        50000   0         0         0          4     
cfg39   9   4   8192        50000   0         0         0          18    
cfg40   4   8   8192        50000   0         0         0          2     
cfg41   9   7   8192        50000   0         0         0          2     
cfg42   6   4   8192        50000   0         0         0          18    
cfg43   9   7   8192        50000   0         0         0          54    
cfg44   8   10  8192        50000   0         0         0          35    
cfg45   7   4   8192        50000   0         0         0          5     
cfg46   10  7   8192        50000   0         0         0          32    
cfg47   9   5   8192        50000   0         0         0          25    
cfg48   5   6   8192        50000   0         0         0          19    
cfg49   4   7   8192        50000   0         0         0          8     
cfg50   7   8   8192        50000   0         0         0          40    
cfg51   7   9   8192        50000   0         0         0          16    
cfg52   5   7   8192        50000   0         0         0          5     
cfg53   4   5   8192        50000   0         0         0          16    
cfg54   8   9   8192        50000   0         0         0          75    
cfg55   4   10  8192        50000   0         0         0          15    
cfg56   8   8   8192        50000   0         0         0          92    
cfg57   10  4   8192        50000   0         0         0          65    
cfg58   9   5   8192        50000   0         0         0          27    
cfg59   5   10  8192        50000   0         0         0          86    
cfg60   9   4   8192        50000   0         0         0          36    
cfg61   10  10  8192        50000   0         0         0          91    
cfg62   7   10  8192        50000   0         0         0          21    
cfg63   7   4   8192        50000   0         0         0          33    
cfg64   5   5   8192        50000   0         0         0          4     
cfg65   4   4   8192        50000   0         0         0          0     
cfg66   6   8   8192        50000   0         0         0          24    
cfg67   8   5   8192        50000   0         0         0          4     
cfg68   5   8   8192        50000   0         0         0          10    
cfg69   4   8   8192        50000   0         0         0          10    
cfg70   8   10  8192        50000   0         0         0          21    
cfg71   5   4   8192        50000   0         0         0          5     
cfg72   10  4   8192        50000   0         0         0          33    
cfg73   8   5   8192        50000   0         0         0          26    
cfg74   10  5   8192        50000   0         0         0          43    
cfg75   7   8   8192        50000   0         0         0          10    
cfg76   8   9   8192        50000   0         0         0          20    
cfg77   8   10  8192        50000   0         0         0          58    
cfg78   7   5   8192        50000   0         0         0          18    
cfg79   10  9   8192        50000   0         0         0          33    
cfg80   5   6   8192        50000   0         0         0          8     
cfg81   7   4   8192        50000   0         0         0          5     
cfg82   4   4   8192        50000   0         0         0          3     
cfg83   7   5   8192        50000   0         0         0          6     
cfg84   8   8   8192        50000   0         0         0          45    
cfg85   4   9   8192        50000   0         0         0          8     
cfg86   7   10  8192        50000   0         0         0          15    
cfg87   5   5   8192        50000   0         0         0          13    
cfg88   6   7   8192        50000   0         0         0          22    
cfg89   10  5   8192        50000   0         0         0          3     
cfg90   6   4   8192        50000   0         0         0          8     
cfg91   10  7   8192        50000   0         0         0          50    
cfg92   10  5   8192        50000   0         0         0          47    
cfg93   4   6   8192        50000   0         0         0          2     
cfg94   4   5   8192        50000   0         0         0          17    
cfg95   10  4   8192        50000   0         0         0          28    
cfg96   7   6   8192        50000   0         0         0          9     
cfg97   7   4   8192        50000   0         0         0          8     
cfg98   5   10  8192        50000   0         0         0          29    
cfg99   7   10  8192        50000   0         0         0          55    
cfg100  6   4   8192        50000   0         0         0          14    
cfg101  5   8   8192        50000   0         0         0          0     
cfg102  5   6   8192        50000   0         0         0          6     
cfg103  5   5   8192        50000   0         0         0          9     
cfg104  10  4   8192        50000   0         0         0          16    
cfg105  10  7   8192        50000   0         0         0          46    
cfg106  8   6   8192        50000   0         0         0          4     
cfg107  6   6   8192        50000   0         0         0          1     
cfg108  4   8   8192        50000   0         0         0          5     
cfg109  7   5   8192        50000   0         0         0          12    
cfg110  9   9   8192        50000   0         0         0          22    
cfg111  8   7   8192        50000   0         0         0          34    
cfg112  9   8   8192        50000   0         0         0          34    
cfg113  10  9   8192        50000   0         0         0          21    
cfg114  5   7   8192        50000   0         0         0          4     
cfg115  5   10  8192        50000   0         0         0          17    
cfg116  10  10  8192        50000   0         0         0          32    
cfg117  5   4   8192        50000   0         0         0          12    
cfg118  9   5   8192        50000   0         0         0          22    
cfg119  10  10  8192        50000   0         0         0          32    
