two_layer_experiments.py
Python 3.12.8 on Windows-11-10.0.26200-SP0 | seed=2 | 2026-06-17
preset=thorough | exp1 configs=250 random=50000 | exp2 sizes=(4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48) reps=20 | exp3 trials=40
Dimensions d = 4  ('proto', 'src', 'dst', 'dport')

==========================================================================
EXPERIMENT 1  Correctness of Phi vs brute force
  (a) exhaustive over SMALL domain (8192 pkts)  (b) random over MEDIUM domain (~33.5M)
==========================================================================
Config  k   t   exhaustive  random  exh mism  rnd mism  anom mism  |Phi|S
cfg120  8   7   8192        50000   0         0         0          19    
cfg121  4   9   8192        50000   0         0         0          6     
cfg122  8   9   8192        50000   0         0         0          79    
cfg123  7   6   8192        50000   0         0         0          1     
cfg124  8   4   8192        50000   0         0         0          13    
cfg125  8   9   8192        50000   0         0         0          44    
cfg126  9   6   8192        50000   0         0         0          50    
cfg127  4   6   8192        50000   0         0         0          10    
cfg128  8   9   8192        50000   0         0         0          82    
cfg129  7   10  8192        50000   0         0         0          19    
cfg130  10  9   8192        50000   0         0         0          84    
cfg131  5   10  8192        50000   0         0         0          21    
cfg132  6   9   8192        50000   0         0         0          31    
cfg133  10  10  8192        50000   0         0         0          34    
cfg134  10  8   8192        50000   0         0         0          44    
cfg135  7   8   8192        50000   0         0         0          33    
cfg136  4   4   8192        50000   0         0         0          8     
cfg137  8   10  8192        50000   0         0         0          112   
cfg138  5   6   8192        50000   0         0         0          7     
cfg139  7   6   8192        50000   0         0         0          7     
cfg140  10  10  8192        50000   0         0         0          48    
cfg141  5   6   8192        50000   0         0         0          30    
cfg142  8   7   8192        50000   0         0         0          34    
cfg143  4   5   8192        50000   0         0         0          0     
cfg144  4   4   8192        50000   0         0         0          18    
cfg145  4   9   8192        50000   0         0         0          7     
cfg146  5   6   8192        50000   0         0         0          18    
cfg147  7   5   8192        50000   0         0         0          66    
cfg148  4   9   8192        50000   0         0         0          18    
cfg149  8   9   8192        50000   0         0         0          47    
cfg150  4   8   8192        50000   0         0         0          5     
cfg151  8   5   8192        50000   0         0         0          26    
cfg152  8   6   8192        50000   0         0         0          26    
cfg153  9   8   8192        50000   0         0         0          10    
cfg154  8   4   8192        50000   0         0         0          15    
cfg155  10  7   8192        50000   0         0         0          33    
cfg156  10  9   8192        50000   0         0         0          42    
cfg157  7   7   8192        50000   0         0         0          21    
cfg158  6   6   8192        50000   0         0         0          6     
cfg159  8   8   8192        50000   0         0         0          24    
cfg160  10  7   8192        50000   0         0         0          39    
cfg161  5   8   8192        50000   0         0         0          18    
cfg162  5   6   8192        50000   0         0         0          27    
cfg163  9   10  8192        50000   0         0         0          77    
cfg164  10  7   8192        50000   0         0         0          16    
cfg165  4   7   8192        50000   0         0         0          13    
cfg166  10  8   8192        50000   0         0         0          48    
cfg167  9   4   8192        50000   0         0         0          11    
cfg168  9   4   8192        50000   0         0         0          20    
cfg169  10  10  8192        50000   0         0         0          170   
cfg170  9   4   8192        50000   0         0         0          36    
cfg171  10  6   8192        50000   0         0         0          62    
cfg172  10  7   8192        50000   0         0         0          39    
cfg173  6   9   8192        50000   0         0         0          34    
cfg174  9   10  8192        50000   0         0         0          88    
cfg175  8   5   8192        50000   0         0         0          32    
cfg176  8   5   8192        50000   0         0         0          11    
cfg177  9   9   8192        50000   0         0         0          2     
cfg178  5   8   8192        50000   0         0         0          10    
cfg179  9   7   8192        50000   0         0         0          9     
cfg180  10  9   8192        50000   0         0         0          52    
cfg181  8   9   8192        50000   0         0         0          17    
cfg182  7   7   8192        50000   0         0         0          28    
cfg183  8   6   8192        50000   0         0         0          12    
cfg184  4   8   8192        50000   0         0         0          11    
cfg185  5   6   8192        50000   0         0         0          5     
cfg186  8   8   8192        50000   0         0         0          57    
cfg187  7   10  8192        50000   0         0         0          25    
cfg188  6   9   8192        50000   0         0         0          55    
cfg189  5   9   8192        50000   0         0         0          23    
cfg190  10  7   8192        50000   0         0         0          46    
cfg191  4   5   8192        50000   0         0         0          20    
cfg192  4   5   8192        50000   0         0         0          5     
cfg193  8   5   8192        50000   0         0         0          19    
cfg194  8   10  8192        50000   0         0         0          29    
cfg195  10  10  8192        50000   0         0         0          97    
cfg196  5   8   8192        50000   0         0         0          10    
cfg197  9   8   8192        50000   0         0         0          18    
cfg198  5   7   8192        50000   0         0         0          3     
cfg199  4   4   8192        50000   0         0         0          2     
cfg200  9   5   8192        50000   0         0         0          39    
cfg201  6   8   8192        50000   0         0         0          14    
cfg202  7   6   8192        50000   0         0         0          15    
cfg203  9   4   8192        50000   0         0         0          36    
cfg204  8   4   8192        50000   0         0         0          17    
cfg205  6   8   8192        50000   0         0         0          32    
cfg206  4   9   8192        50000   0         0         0          19    
cfg207  7   4   8192        50000   0         0         0          16    
cfg208  6   10  8192        50000   0         0         0          8     
cfg209  5   8   8192        50000   0         0         0          17    
cfg210  6   7   8192        50000   0         0         0          32    
cfg211  4   6   8192        50000   0         0         0          14    
cfg212  6   5   8192        50000   0         0         0          14    
cfg213  10  9   8192        50000   0         0         0          23    
cfg214  7   7   8192        50000   0         0         0          10    
cfg215  4   9   8192        50000   0         0         0          1     
cfg216  6   4   8192        50000   0         0         0          8     
cfg217  10  8   8192        50000   0         0         0          67    
cfg218  10  10  8192        50000   0         0         0          45    
cfg219  5   5   8192        50000   0         0         0          1     
cfg220  10  5   8192        50000   0         0         0          23    
cfg221  4   6   8192        50000   0         0         0          39    
cfg222  6   10  8192        50000   0         0         0          36    
cfg223  9   7   8192        50000   0         0         0          52    
cfg224  9   10  8192        50000   0         0         0          32    
cfg225  9   6   8192        50000   0         0         0          53    
cfg226  9   4   8192        50000   0         0         0          16    
cfg227  6   5   8192        50000   0         0         0          0     
cfg228  8   8   8192        50000   0         0         0          9     
cfg229  6   7   8192        50000   0         0         0          30    
cfg230  7   4   8192        50000   0         0         0          20    
cfg231  4   9   8192        50000   0         0         0          0     
cfg232  7   5   8192        50000   0         0         0          19    
cfg233  4   4   8192        50000   0         0         0          0     
cfg234  6   6   8192        50000   0         0         0          13    
cfg235  6   10  8192        50000   0         0         0          43    
cfg236  9   9   8192        50000   0         0         0          8     
cfg237  10  10  8192        50000   0         0         0          38    
cfg238  4   6   8192        50000   0         0         0          18    
cfg239  4   6   8192        50000   0         0         0          3     
cfg240  9   5   8192        50000   0         0         0          1     
cfg241  8   7   8192        50000   0         0         0          23    
cfg242  6   10  8192        50000   0         0         0          2     
cfg243  4   10  8192        50000   0         0         0          1     
cfg244  8   5   8192        50000   0         0         0          14    
cfg245  4   4   8192        50000   0         0         0          8     
cfg246  9   4   8192        50000   0         0         0          43    
cfg247  10  6   8192        50000   0         0         0          26    
cfg248  9   4   8192        50000   0         0         0          35    
cfg249  10  10  8192        50000   0         0         0          61    

250 configs | total packet checks = 14,548,000 | packet mismatches = 0, anomaly mismatches = 0  (expected 0 / 0 -> validates Thm 1 & Thm 5)

==========================================================================
EXPERIMENT 2  Box-count and scaling (FULL domain), reps=20
==========================================================================
rules  k   t   |A(N)|  |A(G)|  |Phi|avg  |Phi|max  grid bound  build ms
-----------------------------------------------------------------------
4      2   2   2       3       1         4         3.28e+04    0.1     
8      4   4   6       10      10        29        1.95e+05    0.3     
12     6   6   13      20      30        80        4.60e+05    0.7     
16     8   8   28      37      68        168       1.24e+06    2.7     
20     10  10  35      54      100       262       2.11e+06    5.4     
24     12  12  44      57      130       400       3.25e+06    7.5     
28     14  14  77      88      225       799       5.19e+06    16.3    
32     16  16  68      111     254       688       7.50e+06    15.0    
36     18  18  99      132     337       757       1.08e+07    35.3    
40     20  20  157     182     687       1771      1.43e+07    89.9    
44     22  22  108     192     459       1281      1.78e+07    59.9    
48     24  24  192     253     794       2017      2.38e+07    94.9    

Mean over 20 reps per size. |Phi| stays far below the O((k+t)^d) grid bound -> Thm 2 (worst-case, not typical).

==========================================================================
EXPERIMENT 3a  Anomaly detection on realistic example configs (FULL domain)
==========================================================================
config    |NACL|  |SG|  dead SG  Phi-redun  NACL shadow  W_N box  W_G box
-------------------------------------------------------------------------
web-tier  2       3     1        1          1            6        1      
app-tier  2       3     1        3          1            0        1      
db-tier   3       1     0        0          2            4        0      

==========================================================================
EXPERIMENT 3b  Injection sensitivity (FULL domain): inject 2 dead + 2 redundant
==========================================================================
trial  dead (base->inj)  Phi-redun (base->inj)  d(dead)  d(redun)
-----------------------------------------------------------------
0      2->5              7->12                  3        5       
1      4->6              5->10                  2        5       
2      0->2              8->12                  2        4       
3      1->6              1->6                   5        5       
4      0->2              8->12                  2        4       
5      1->3              1->6                   2        5       
6      4->7              8->12                  3        4       
7      1->3              5->10                  2        5       
8      1->3              3->9                   2        6       
9      0->2              1->6                   2        5       
10     0->4              2->6                   4        4       
11     0->3              3->8                   3        5       
12     3->5              5->10                  2        5       
13     0->2              0->6                   2        6       
14     0->3              2->7                   3        5       
15     2->4              3->9                   2        6       
16     1->4              1->6                   3        5       
17     0->3              0->5                   3        5       
18     1->4              5->10                  3        5       
19     1->3              3->9                   2        6       
20     0->4              2->6                   4        4       
21     0->2              0->6                   2        6       
22     2->4              4->9                   2        5       
23     5->8              5->10                  3        5       
24     0->2              2->6                   2        4       
25     0->2              0->6                   2        6       
26     0->2              6->11                  2        5       
27     1->3              4->8                   2        4       
28     2->6              2->6                   4        4       
29     2->4              4->10                  2        6       
30     0->2              1->6                   2        5       
31     0->2              1->7                   2        6       
32     6->8              7->12                  2        5       
33     1->3              2->8                   2        6       
34     1->3              3->9                   2        6       
35     0->2              0->6                   2        6       
36     0->2              0->6                   2        6       
37     2->6              2->6                   4        4       
38     0->4              2->6                   4        4       
39     10->14            10->14                 4        4       

Injected 2 dead + 2 redundant per trial; deltas >= 2 confirm the injected anomalies are detected (Thm 5 completeness; extra hits are natural anomalies).

Total wall time: 1285.0 s
